date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Sep-15,uid-521,DFE-1072,,,GRADE 7,Operational Manager,Education Funding Agency,0,46833,58373,Operational Delivery
Sep-15,uid-522,DFE-1040,,,EO,Executive Assistant,Teachers and Teaching Group,0,22681,33209,Business Unit Support
Sep-15,uid-523,DFE-1127,,,GRADE 7,Business Manager,Finance & Commercial Group,0,46833,58373,Finance
Sep-15,uid-524,DFE-1249,,,EO,Executive Assistant,Strategy Performance and Private Office Group,0,22681,33209,Business Unit Support
Sep-15,uid-525,DFE-1216,,,EA AO,Executive Assistant,Education Funding Agency,0,18474,23084,Operational Delivery
Sep-15,uid-526,DFE-1072,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Finance
Sep-15,uid-527,DFE-1183,,,EO,Executive Assistant,Education Funding Group,0,22681,33209,Policy
Sep-15,uid-528,DFE-1026,,,HEO,Policy Support Officer,National College for School Leadership,0,27674,42065,Policy
Sep-15,uid-529,DFE-1173,,,HEO,Policy Support Officer,"Childcare, Special Needs and Children’s Services Strategy",0,27674,42065,Policy
Sep-15,uid-530,DFE-1262,,,GRADE 6,Business Manager,Education Funding Agency,0,57309,70578,Policy
Sep-15,uid-531,DFE-1005,,,EO,Executive Assistant,"Assessment, Curriculum and General Qualifications",0,22681,33209,Policy
Sep-15,uid-532,DFE-1249,,,HEO,Operations Support Officer,Strategy Performance and Private Office Group,0,27674,42065,Strategy
Sep-15,uid-533,DFE-1035,,,SEO,Policy Adviser,"Assessment, Curriculum and General Qualifications",0,34282,48182,Policy
Sep-15,uid-534,DFE-1028,,,GRADE 6,Business Manager,National College for School Leadership,0,57309,70578,Policy
Sep-15,uid-535,DFE-1020,,,HEO,Operations Support Officer,Education Funding Agency,0,27674,42065,Information Technology
Sep-15,uid-536,DFE-1081,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Operational Delivery
Sep-15,uid-537,DFE-1011,,,SEO,HR Officer,HR and Change Group,0,34282,48182,Human Resources
Sep-15,uid-538,DFE-1237,,,GRADE 6,Business Manager,Finance & Commercial Group,0,57309,70578,Procurement
Sep-15,uid-539,DFE-1064,,,SEO,Operational Manager,Education Funding Agency,0,34282,48182,Operational Delivery
Sep-15,uid-540,DFE-1108,,,HEO,Operations Support Officer,Education Funding Agency,0,27674,42065,Operational Delivery
Sep-15,uid-541,DFE-1187,,,HEO,Policy Support Officer,Free Schools Group,0,27674,42065,Policy
Sep-15,uid-542,DFE-1060,,,GRADE 6,Operational Manager,Standards and Testing Agency,0,57309,70578,Operational Delivery
Sep-15,uid-543,DFE-1243,,,HEO,Finance Officer,Strategic Analysis Research and Policy Impact Group,0,27674,42065,Economics
Sep-15,uid-544,DFE-1153,,,EO,Executive Assistant,HR and Change Group,0,22681,33209,Human Resources
Sep-15,uid-545,DFE-1154,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Business Unit Support
Sep-15,uid-546,DFE-1281,,,GRADE 6,Operational Manager,Education Funding Agency,0,57309,70578,Operational Delivery
Sep-15,uid-547,DFE-1260,,,SEO,Policy Adviser,"Childcare, Special Needs and Children’s Services Strategy",0,34282,48182,Policy
Sep-15,uid-548,DFE-1032,,,GRADE 7,Operational Manager,Standards and Testing Agency,0,46833,58373,Operational Delivery
Sep-15,uid-549,DFE-1002,,,GRADE 7,Business Manager,Children Services and Departmental Strategy,0,46833,58373,Policy
Sep-15,uid-550,DFE-1237,,,HEO,Procurement Support Officer,Finance & Commercial Group,0,27674,42065,Procurement
Sep-15,uid-551,DFE-1205,,,EO,Executive Assistant,"Childcare, Special Needs and Children’s Services Strategy",0,22681,33209,Policy
Sep-15,uid-552,DFE-1129,,,EO,Executive Assistant,Free Schools Group,0,22681,33209,Policy
Sep-15,uid-553,DFE-1003,,,GRADE 7,Business Manager,Education Standards Directorate,0,46833,58373,Business Unit Support
Sep-15,uid-554,DFE-1111,,,GRADE 6,Business Manager,Systems and Accountability,0,57309,70578,Policy
Sep-15,uid-555,DFE-1148,,,GRADE 7,Operational Manager,Education Funding Agency,0,46833,58373,Operational Delivery
Sep-15,uid-556,DFE-1214,,,EA AO,Executive Assistant,Post 16 and Disadvantage,0,18474,23084,Policy
Sep-15,uid-557,DFE-1156,,,GRADE 7,Business Manager,Education Funding Agency,0,46833,58373,Policy
Sep-15,uid-558,DFE-1153,,,GRADE 7,Business Manager,HR and Change Group,0,46833,58373,Human Resources
Sep-15,uid-559,DFE-1192,,,GRADE 6,Office Manager,Education Funding Agency,0,57309,70578,Business Unit Support
Sep-15,uid-560,DFE-1029,,,GRADE 7,Operational Manager,Education Funding Agency,0,46833,58373,Operational Delivery
Sep-15,uid-561,DFE-1242,,,SEO,Operational Manager,Regional Schools Commissioners Group,0,34282,48182,Operational Delivery
Sep-15,uid-562,DFE-1262,,,GRADE 6,Business Manager,Education Funding Agency,0,57309,70578,Finance
Sep-15,uid-563,DFE-1192,,,HEO,Policy Adviser,Education Funding Agency,0,27674,42065,Business Unit Support
