id,parentId,date,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
root,,,,,,,,,,,
uid-927,43,Mar-13,Junior,,Band D,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,17513,28000,Operational Delivery
uid-928,43,Mar-13,Junior,,Band E,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,15935,22250,Operational Delivery
uid-929,14,Mar-13,Junior,,Band A,Senior Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,42034,67969,Information Technology
uid-930,14,Mar-13,Junior,,Band B,Senior Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,29634,44964,Information Technology
uid-931,14,Mar-13,Junior,,Band C,Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,21096,36061,Information Technology
uid-932,14,Mar-13,Junior,,Band D,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,17513,28000,Information Technology
uid-933,4,Mar-13,Junior,,Band A,Senior Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,42034,67969,Operational Delivery
uid-934,4,Mar-13,Junior,,Band C,Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,21096,36061,Operational Delivery
uid-935,304,Mar-13,Junior,,Fast Streamer,Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,27000,43400,Operational Delivery
uid-936,304,Mar-13,Junior,,Fast Streamer,Fastreamer,Her Majesty's Courts and Tribunals Service (HMCTS),0,27000,43400,Operational Delivery
uid-937,317,Mar-13,Junior,,Fast Streamer,Fastreamer,Her Majesty's Courts and Tribunals Service (HMCTS),0,27000,43400,Operational Delivery
uid-938,319,Mar-13,Junior,,Band E,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,15935,22250,Operational Delivery
uid-939,319,Mar-13,Junior,,Band F,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,13894,18700,Operational Delivery
uid-940,343,Mar-13,Junior,,Band A,Senior Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,42034,67969,Operational Delivery
uid-941,343,Mar-13,Junior,,Band B,Senior Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,29634,44964,Operational Delivery
uid-942,343,Mar-13,Junior,,Band C,Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,21096,36061,Operational Delivery
uid-943,343,Mar-13,Junior,,Band D,Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,17513,28000,Operational Delivery
uid-944,343,Mar-13,Junior,,Band D,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,17513,28000,Operational Delivery
uid-945,343,Mar-13,Junior,,Band E,Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,15935,22250,Operational Delivery
uid-946,343,Mar-13,Junior,,Band E,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,15935,22250,Operational Delivery
uid-947,343,Mar-13,Junior,,Band F,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,13894,18700,Operational Delivery
uid-948,343,Mar-13,Junior,,Fast Streamer,Fastreamer,Her Majesty's Courts and Tribunals Service (HMCTS),0,27000,43400,Operational Delivery
uid-949,319,Mar-13,Junior,,Band A,Senior Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,42034,67969,Operational Delivery
uid-950,319,Mar-13,Junior,,Band B,Senior Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,29634,44964,Operational Delivery
uid-951,319,Mar-13,Junior,,Band C,Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,21096,36061,Operational Delivery
uid-952,319,Mar-13,Junior,,Band D,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,17513,28000,Operational Delivery
uid-953,48,Mar-13,Junior,,Band A,Senior Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,42034,67969,Operational Delivery
uid-954,48,Mar-13,Junior,,Band B,Senior Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,29634,44964,Operational Delivery
uid-955,48,Mar-13,Junior,,Band C,Operational Manager,Her Majesty's Courts and Tribunals Service (HMCTS),0,21096,36061,Operational Delivery
uid-956,41,Mar-13,Junior,,Band D,Operations Support Officer,Her Majesty's Courts and Tribunals Service (HMCTS),0,17513,28000,Operational Delivery
uid-957,41,Mar-13,Junior,,Band A,Practice & Compliance,Office of the Public Guardian (OPG),0,42034,67969,Operational Delivery
uid-958,41,Mar-13,Junior,,Band B,Practice & Compliance,Office of the Public Guardian (OPG),0,29634,44964,Operational Delivery
uid-959,41,Mar-13,Junior,,Band C,Practice & Compliance,Office of the Public Guardian (OPG),0,21096,36061,Operational Delivery
uid-960,41,Mar-13,Junior,,Band D,Practice & Compliance,Office of the Public Guardian (OPG),0,17513,28000,Operational Delivery
uid-961,41,Mar-13,Junior,,Band E,Practice & Compliance,Office of the Public Guardian (OPG),0,15935,22250,Operational Delivery
uid-962,41,Mar-13,Junior,,Band A,Strategy & Business Development,Office of the Public Guardian (OPG),0,42034,67969,Operational Delivery
uid-963,41,Mar-13,Junior,,Band B,Strategy & Business Development,Office of the Public Guardian (OPG),0,29634,44964,Operational Delivery
uid-964,41,Mar-13,Junior,,Band C,Strategy & Business Development,Office of the Public Guardian (OPG),0,21096,36061,Operational Delivery
uid-965,41,Mar-13,Junior,,Band D,Strategy & Business Development,Office of the Public Guardian (OPG),0,17513,28000,Operational Delivery
uid-966,41,Mar-13,Junior,,Fast Streamer,Strategy & Business Development,Office of the Public Guardian (OPG),0,27000,43400,Operational Delivery
uid-967,41,Mar-13,Junior,,Band E,Strategy & Business Development,Office of the Public Guardian (OPG),0,15935,22250,Operational Delivery
uid-968,41,Mar-13,Junior,,Band A,Corporate Services,Office of the Public Guardian (OPG),0,42034,67969,Operational Delivery
uid-969,41,Mar-13,Junior,,Band B,Corporate Services,Office of the Public Guardian (OPG),0,29634,44964,Operational Delivery
uid-970,41,Mar-13,Junior,,Band C,Corporate Services,Office of the Public Guardian (OPG),0,21096,36061,Operational Delivery
uid-971,41,Mar-13,Junior,,Band D,Corporate Services,Office of the Public Guardian (OPG),0,17513,28000,Operational Delivery
uid-972,41,Mar-13,Junior,,Band E,Corporate Services,Office of the Public Guardian (OPG),0,15935,22250,Operational Delivery
uid-973,41,Mar-13,Junior,,Band A,CEO,Office of the Public Guardian (OPG),0,42034,67969,Operational Delivery
uid-974,41,Mar-13,Junior,,Band C,CEO,Office of the Public Guardian (OPG),0,21096,36061,Operational Delivery
uid-975,41,Mar-13,Junior,,Band D,CEO,Office of the Public Guardian (OPG),0,17513,28000,Operational Delivery
uid-976,41,Mar-13,Junior,,Band E,CEO,Office of the Public Guardian (OPG),0,15935,22250,Operational Delivery
uid-977,41,Mar-13,Junior,,Band A,Transformation,Office of the Public Guardian (OPG),0,42034,67969,Operational Delivery
uid-978,41,Mar-13,Junior,,Band B,Transformation,Office of the Public Guardian (OPG),0,29634,44964,Operational Delivery
uid-979,41,Mar-13,Junior,,Band C,Transformation,Office of the Public Guardian (OPG),0,21096,36061,Operational Delivery
uid-980,41,Mar-13,Junior,,Band D,Transformation,Office of the Public Guardian (OPG),0,17513,28000,Operational Delivery
uid-981,41,Mar-13,Junior,,Fast Streamer,Transformation,Office of the Public Guardian (OPG),0,27000,43400,Operational Delivery
uid-982,41,Mar-13,Junior,,Band A,Operations,Office of the Public Guardian (OPG),0,42034,67969,Operational Delivery
uid-983,41,Mar-13,Junior,,Band B,Operations,Office of the Public Guardian (OPG),0,29634,44964,Operational Delivery
uid-984,41,Mar-13,Junior,,Band C,Operations,Office of the Public Guardian (OPG),0,21096,36061,Operational Delivery
uid-985,41,Mar-13,Junior,,Band D,Operations,Office of the Public Guardian (OPG),0,17513,28000,Operational Delivery
uid-986,41,Mar-13,Junior,,Band E,Operations,Office of the Public Guardian (OPG),0,15935,22250,Operational Delivery
uid-987,41,Mar-13,Junior,,Band F,Operations,Office of the Public Guardian (OPG),0,13894,18700,Operational Delivery
