id,parentId,date,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
uid-1144,CLG189,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Planning
uid-1145,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Not in Post,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1146,CLG188,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Planning
uid-1147,CLG197,Sep-14,Junior,,Senior Executive Officer (SEO),IT Manager,Finance and Corporate Services,0,32311,45985,Information Technology
uid-1148,CLG170,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1149,CLG178,Sep-14,Junior,,Grade 6 (G6),Senior Policy Adviser,Neighbourhoods,0,50203,70375,Policy
uid-1150,CLG201,Sep-14,Junior,,Executive Officer (EO),IT Support Officer,Finance and Corporate Services,0,22279,31225,Information Technology
uid-1151,CLG198,Sep-14,Junior,,Senior Executive Officer (SEO),Finance Officer,Finance and Corporate Services,0,32311,45985,Finance
uid-1152,CLG218,Sep-14,Junior,,Administrative Officer (AO),Policy Support Officer,Finance and Corporate Services,0,19335,25847,Policy
uid-1153,CLG198,Sep-14,Junior,,Grade 7 (G7),Senior Finance Manager,Finance and Corporate Services,0,40852,57110,Finance
uid-1154,CLG182,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Neighbourhoods,0,32311,45985,Policy
uid-1155,CLG201,Sep-14,Junior,,Higher Executive Officer (HEO),IT Manager,Finance and Corporate Services,0,26058,39513,Information Technology
uid-1156,CLG177,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Neighbourhoods,0,26058,39513,Policy
uid-1157,CLG162,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Localism,0,26058,39513,Policy
uid-1158,CLG227,Sep-14,Junior,,Grade 7 (G7),Programme Office Manager,Neighbourhoods,0,40852,57110,Operational Delivery
uid-1159,CLG170,Sep-14,Junior,,Grade 6 (G6),Senior Policy Adviser,Localism,0,50203,70375,Policy
uid-1160,CLG197,Sep-14,Junior,,Higher Executive Officer (HEO),Finance Officer,Finance and Corporate Services,0,26058,39513,Finance
uid-1161,CLG146,Sep-14,Junior,,Grade 7 (G7),Not in Post,Finance and Corporate Services,0,40852,57110,Policy
uid-1162,CLG154,Sep-14,Junior,,Administrative Officer (AO),Diary Manager,"Strategy, Comms and Private Offices",0,19335,25847,Policy
uid-1163,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1164,CLG189,Sep-14,Junior,,Administrative Officer (AO),Policy Support Officer,Neighbourhoods,0,19335,25847,Planning
uid-1165,CLG189,Sep-14,Junior,,Senior Executive Officer (SEO),Not in Post,Neighbourhoods,0,32311,45985,Planning
uid-1166,CLG159,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Localism,0,26058,39513,Policy
uid-1167,CLG189,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Neighbourhoods,0,32311,45985,Planning
uid-1168,CLG172,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Localism,0,32311,45985,Policy
uid-1169,CLG233,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,"Strategy, Comms and Private Offices",0,26058,39513,Policy
uid-1170,CLG204,Sep-14,Junior,,Higher Executive Officer (HEO),Internal Auditor,Finance and Corporate Services,0,26058,39513,Internal Audit
uid-1171,CLG242,Sep-14,Junior,,Grade 7 (G7),Principal Private Secretary,"Strategy, Comms and Private Offices",0,40852,57110,Policy
uid-1172,CLG232,Sep-14,Junior,,Senior Executive Officer (SEO),Finance Officer,Finance and Corporate Services,0,32311,45985,Finance
uid-1173,CLG157,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1174,CLG166,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1175,CLG204,Sep-14,Junior,,Grade 6 (G6),Senior Internal Auditor,Finance and Corporate Services,0,50203,70375,Internal Audit
uid-1176,CLG194,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Policy
